,price,Total Stored Energy,UHE Generated Energy,UTE Generated Energy,Solar Generated Energy,Wind Generated Energy,Load Energy,ENA,Afluent Flow Sum,Useful Afluent Flow Sum
price,1.0,-0.6319817418017866,-0.47082847005866135,0.6360478968388552,0.3843636762637862,0.0759851323265158,-0.12131832772108135,-0.5264491670202932,-0.3504788354762168,-0.20472270351355595
Total Stored Energy,-0.6319817418017866,1.0,0.22454988891305433,-0.342989011599717,-0.30693692739789563,-0.525388754418092,-0.19266414861027104,0.35280268084710764,0.27976494784606337,0.28112330180013967
UHE Generated Energy,-0.47082847005866135,0.22454988891305433,1.0,-0.906760671496141,0.16795646435581496,-0.004372297354404208,0.6390716219053945,0.7382267484444461,0.5936364263763381,0.4906453805429371
UTE Generated Energy,0.6360478968388552,-0.342989011599717,-0.906760671496141,1.0,-0.18398086045202575,0.0957363079741138,-0.5421914147424234,-0.7614094020463725,-0.6413569058300619,-0.5232138802390935
Solar Generated Energy,0.3843636762637862,-0.30693692739789563,0.16795646435581496,-0.18398086045202575,1.0,-0.24368375101233833,0.1839690617772338,-0.00650687496671484,-0.05096270125451122,-0.049053684146396985
Wind Generated Energy,0.0759851323265158,-0.525388754418092,-0.004372297354404208,0.0957363079741138,-0.24368375101233833,1.0,0.35652281152114246,-0.16988330390451303,-0.22652465217459067,-0.3014295498769241
Load Energy,-0.12131832772108135,-0.19266414861027104,0.6390716219053945,-0.5421914147424234,0.1839690617772338,0.35652281152114246,1.0,0.4764172476213244,0.5048678723666946,0.48593293683294947
ENA,-0.5264491670202932,0.35280268084710764,0.7382267484444461,-0.7614094020463725,-0.00650687496671484,-0.16988330390451303,0.4764172476213244,1.0,0.9156726714193629,0.7907602465545098
Afluent Flow Sum,-0.3504788354762168,0.27976494784606337,0.5936364263763381,-0.6413569058300619,-0.05096270125451122,-0.22652465217459067,0.5048678723666946,0.9156726714193629,1.0,0.9582927394341488
Useful Afluent Flow Sum,-0.20472270351355595,0.28112330180013967,0.4906453805429371,-0.5232138802390935,-0.049053684146396985,-0.3014295498769241,0.48593293683294947,0.7907602465545098,0.9582927394341488,1.0
